Upstream Regulator,Expr Log Ratio,Molecule Type,Predicted Activation State,Activation z-score,p-value of overlap,Target Molecules in Dataset,Mechanistic Network
APOE,0.7,transporter, ,-0.126,0.036,"C5AR1,CAV1,CREB3L1,CTSV,ITGAX,NOS2,PTGES,SERPINA3,SPP1", 
FGF8, ,growth factor, ,0.882,0.0365,"SHC1,SPP1,THBS1,TNXB", 
tetrachlorodibenzodioxin, ,chemical toxicant, ,1.043,0.0367,"ALDH3A1,CDKN1A,CTSV,CYP1A1,ELN,IGF2,ITGAX,NOS2,PERP,SPOCK2", 
NFE2L2,-0.12,transcription regulator, ,1.398,0.0367,"ABCC3,ALDH3A1,CDKN1A,ELN,EPAS1,GADD45G,GHR,NOS2,PPARGC1A,SERPINA3,SHC1", 
platelet activating factor, ,chemical - endogenous mammalian, , ,0.0368,"CDKN1A,PLAUR,THBS1", 
DCN,1.106,other, , ,0.0368,"CDKN1A,NOS2,THBS1", 
carbonyl cyanide m-chlorophenyl hydrazone, ,chemical toxicant, , ,0.0368,"CHRNA9,CTSV,GDF15", 
DETA-NONOate, ,chemical reagent, , ,0.0368,"CAV1,CDKN1A,NOS2", 
erlotinib, ,chemical drug, ,1,0.0377,"LIF,PDGFB,PLAUR,TNFRSF1B", 
desmopressin, ,biologic drug, ,1.72,0.0377,"CARD14,SLC43A2,TNS1,VWF", 
SUZ12,0.004,enzyme, , ,0.0379,"CNR1,GRIK2,H19,TNFAIP2,TNFRSF1B", 
IL18, ,cytokine, ,0.36,0.0379,"GADD45G,INPP5D,LIF,NOS2,SPP1,TBX21", 
ADCY, ,group, , ,0.0384,"CDKN1A,CRYM", 
Fibrin, ,complex, , ,0.0384,"CDH5,KRT18", 
SGPL1,-0.272,enzyme, , ,0.0384,"IFIT1,OAS1", 
SEMA7A,0.014,transmembrane receptor, , ,0.0384,"CCN4,ELN", 
Pde4, ,group, , ,0.0384,"CDKN1A,KRT18", 
IFNK, ,cytokine, , ,0.0384,"OAS1,PLAAT4", 
miR-18a-5p (and other miRNAs w/seed AAGGUGC), ,mature microRNA, , ,0.0384,"CDKN1A,THBS1", 
BTRC,-0.512,enzyme, , ,0.0384,"BST2,CDKN1A", 
HSPA9,0.033,other, , ,0.0384,"CDKN1A,PRDM16", 
VIM,0.185,other, , ,0.0384,"ITGB4,MFNG", 
BRD7,-0.245,transcription regulator, , ,0.0384,"CDKN1A,CYP1A1", 
dipyridamole, ,chemical drug, , ,0.0384,"NOS2,SPP1", 
pifithrin alpha, ,chemical reagent, , ,0.0384,"CDKN1A,CYP1A1", 
EPAS1,1.358,transcription regulator, ,-0.577,0.0385,"ACP5,CAV1,CDKN1A,H1-2,H2AC6,NT5E,PDGFB", 
TSHZ3, ,transcription regulator, , ,0.0385,"ADCY2,CRYM,FOSB", 
CDK9,0.2,kinase, , ,0.0385,"CDKN1A,H2AC6,PPARGC1A", 
PIM1,-0.042,kinase, , ,0.0385,"CDKN1A,PPARGC1A,TBX21", 
PLAG1, ,transcription regulator, , ,0.0385,"CNKSR1,CREB3L1,IGF2", 
FOSL2,0.517,transcription regulator, , ,0.0385,"ITGB4,NOS2,SPP1", 
carboplatin, ,chemical drug, , ,0.0385,"CLDN4,NT5E,SPP1", 
bicuculline, ,chemical - endogenous non-mammalian, , ,0.0385,"FOSB,GADD45G,NPAS4", 
4-hydroxytamoxifen, ,chemical drug,Activated,2.378,0.0388,"CDKN1A,CLDN4,CYP1A1,FOSB,PAK6,PPARGC1A", 
troglitazone, ,chemical drug, ,-0.546,0.0389,"ATP10B,CAV1,CDKN1A,CYP1A1,DCN,GDF15,NOS2,PPARGC1A,PTGES,SPP1", 
PDLIM2,0.28,other, ,0,0.039,"CRISPLD2,GHR,OAS3,TNS1", 
miR-125b-5p (and other miRNAs w/seed CCCUGAG), ,mature microRNA, ,-1.953,0.039,"CDH5,CYP1A1,NOS2,PERP", 
CALCA, ,other, , ,0.039,"CARD14,NOS2,SLC43A2,TNS1", 
CpG ODN 2006, ,chemical reagent, ,0.577,0.039,"IFI44L,IFIT1,IFIT2,OAS1", 
camptothecin, ,chemical drug, ,1.129,0.0392,"ARL4A,CD200,CDKN1A,FOSB,GADD45G,GLIPR1,NOS2,NRP1,PERP,PTGES,SPP1,TNFRSF10D,TNFRSF1B,TUBA4A", 
NKX2-1, ,transcription regulator, , ,0.0397,"CA8,COL9A1,OLIG2,PLP1,PRRX2,THBS1", 
acetaminophen, ,chemical drug, ,0.751,0.0397,"ABCC3,CDKN1A,CTSV,GHR,NOS2,PLAUR", 
Growth hormone, ,group, ,0,0.04,"DLK1,GDF15,GHR,IGF2,PLK2,RPH3A,SPP1", 
H. carbonum toxin, ,biologic drug, , ,0.0401,CDKN1A, 
(diaminocyclohexane)(diacetato)(dichloro)platinum, ,chemical reagent, , ,0.0401,CDKN1A, 
WDR82,0.059,other, , ,0.0401,CDKN1A, 
TFIIH, ,complex, , ,0.0401,CDKN1A, 
"benzo(a)pyrene 7,8-dihydrodiol", ,chemical toxicant, , ,0.0401,CYP1A1, 
beryllium sulfate, ,chemical toxicant, , ,0.0401,CDKN1A, 
"1,2,5,6-dibenzanthracene", ,chemical toxicant, , ,0.0401,CYP1A1, 
diosmin, ,chemical drug, , ,0.0401,CYP1A1, 
cardamomin, ,chemical - endogenous non-mammalian, , ,0.0401,NOS2, 
MLN8054, ,chemical drug, , ,0.0401,CDKN1A, 
prochloraz, ,chemical reagent, , ,0.0401,CYP1A1, 
irisolidone, ,chemical - endogenous non-mammalian, , ,0.0401,NOS2, 
natriuretic peptide derivative, ,biologic drug, , ,0.0401,PPARGC1A, 
imperatorin, ,chemical - endogenous non-mammalian, , ,0.0401,NOS2, 
IGF2-AS, ,other, , ,0.0401,IGF2, 
DPP10, ,peptidase, , ,0.0401,KCNIP1, 
INTS11,0.146,other, , ,0.0401,FOSB, 
TRIM13,-1.026,enzyme, , ,0.0401,IFIT2, 
KDM4D,0.391,enzyme, , ,0.0401,CDKN1A, 
ZNF346,-0.087,other, , ,0.0401,CDKN1A, 
RHOBTB2,0.443,enzyme, , ,0.0401,CDKN1A, 
RFFL,0.415,enzyme, , ,0.0401,CDKN1A, 
TTC5,-0.096,other, , ,0.0401,CDKN1A, 
ARF4,0.1,enzyme, , ,0.0401,CLDN4, 
PTPMT1,0.171,phosphatase, , ,0.0401,CDKN1A, 
TRIM66,0.123,transcription regulator, , ,0.0401,IFIT2, 
H1-3, ,other, , ,0.0401,H19, 
ZNF451,0.053,enzyme, , ,0.0401,CDKN1A, 
KLF14, ,transcription regulator, , ,0.0401,PPARGC1A, 
PYHIN1, ,other, , ,0.0401,CDKN1A, 
MTCH2,-0.084,other, , ,0.0401,SHC1, 
N4BP2L2,0.071,transcription regulator, , ,0.0401,CDKN1A, 
TRIM32,0.195,transcription regulator, , ,0.0401,IFIT2, 
CTBP1-DT,-0.362,other, , ,0.0401,CDKN1A, 
TRIM36,0.252,enzyme, , ,0.0401,IFIT2, 
EXOC3L1, ,other, , ,0.0401,CDKN1A, 
OLA1,-0.255,enzyme, , ,0.0401,CDKN1A, 
methylamphotericin B, ,chemical drug, , ,0.0401,SPP1, 
isoleucine, ,chemical - endogenous mammalian, , ,0.0401,CDKN1A, 
YEATS4,-0.077,transcription regulator, , ,0.0401,CDKN1A, 
pinoresinol, ,chemical - endogenous non-mammalian, , ,0.0401,NOS2, 
RNF144B,-0.052,enzyme, , ,0.0401,CDKN1A, 
TERF1,-0.229,transcription regulator, , ,0.0401,CDKN1A, 
ELL,0.094,transcription regulator, , ,0.0401,CDKN1A, 
TBX6,0.362,transcription regulator, , ,0.0401,DLL1, 
PLEC,0.351,other, , ,0.0401,KRT18, 
EMP2,0.104,other, , ,0.0401,CAV1, 
PMEPA1,-0.657,other, , ,0.0401,CDKN1A, 
MCRS1,-0.158,other, , ,0.0401,CDKN1A, 
U2AF2,-0.136,other, , ,0.0401,CDKN1A, 
ABCC2, ,transporter, , ,0.0401,ABCC3, 
TRD, ,other, , ,0.0401,NT5E, 
HAO1, ,enzyme, , ,0.0401,PPARGC1A, 
CUL4A,0.104,other, , ,0.0401,CDKN1A, 
riociguat, ,chemical drug, , ,0.0401,SPP1, 
CNP,-0.049,enzyme, , ,0.0401,NOS2, 
mir-368, ,microRNA, , ,0.0401,HES5, 
TRIM9,-0.257,enzyme, , ,0.0401,IFIT2, 
ARHGAP1,0.41,other, , ,0.0401,CDKN1A, 
GBP1, ,enzyme, , ,0.0401,VWF, 
PRDX4,-0.149,enzyme, , ,0.0401,NOS2, 
GW 6471, ,chemical reagent, , ,0.0401,PPARGC1A, 
OLIG1,-1.475,transcription regulator, , ,0.0401,OLIG2, 
COL7A1,0.909,other, , ,0.0401,THBS1, 
SLN, ,other, , ,0.0401,PPARGC1A, 
MID2, ,other, , ,0.0401,IFIT2, 
INPP5K,-0.011,phosphatase, , ,0.0401,IGF2, 
SRCAP,-0.033,transcription regulator, , ,0.0401,CDKN1A, 
EID2,-0.164,other, , ,0.0401,CDKN1A, 
MKNK2,0.581,kinase, , ,0.0401,IFIT2, 
BMP1,0.094,peptidase, , ,0.0401,DCN, 
MLST8,0.191,other, , ,0.0401,IFIT2, 
GFRA2, ,transmembrane receptor, , ,0.0401,FOSB, 
SYF2,-0.027,other, , ,0.0401,CDKN1A, 
PDZD2,-0.904,other, , ,0.0401,CDKN1A, 
IGF2BP3,-0.274,translation regulator, , ,0.0401,IGF2, 
Ank2, ,other, , ,0.0401,KCNJ11, 
SOX21,-0.095,transcription regulator, , ,0.0401,HES5, 
TRERF1,0.272,transcription regulator, , ,0.0401,CDKN1A, 
GOPC,-0.093,transporter, , ,0.0401,ADRB1, 
SPAG9,0.156,other, , ,0.0401,CDKN1A, 
BLM,0.5,enzyme, , ,0.0401,CDKN1A, 
ALPL,-0.817,phosphatase, , ,0.0401,SPP1, 
CSPG4,-0.166,other, , ,0.0401,NOS2, 
AP2A2,0.143,transporter, , ,0.0401,CDKN1A, 
RASSF7,0.533,other, , ,0.0401,CDKN1A, 
ELOA,0.122,transcription regulator, , ,0.0401,CDKN1A, 
HES6,-0.864,transcription regulator, , ,0.0401,CDKN1A, 
ITGB8,-0.263,other, , ,0.0401,CDKN1A, 
RACGAP1,-0.054,transporter, , ,0.0401,CDKN1A, 
BUB3,0.028,other, , ,0.0401,CDKN1A, 
TCP1,-0.101,other, , ,0.0401,CDKN1A, 
"8-butyl-10-[(3-methoxy-5-pyrrol-2-ylidenepyrrol-2-ylidene)methyl]-11-azabicyclo[7.2.1]dodeca-1(12),9-diene", ,chemical reagent, , ,0.0401,CDKN1A, 
LNPEP,0.233,peptidase, , ,0.0401,NOS2, 
Naip1 (includes others), ,other, , ,0.0401,NOS2, 
NKRF,-0.007,transcription regulator, , ,0.0401,NOS2, 
"(+)-R-3-(4-chlorophenyl)-3-(1-hydroxymethylcyclopropylmethoxy)-2-(4-nitrobenzyl)-2,3-dihydroisoindol-1-one", ,chemical reagent, , ,0.0401,CDKN1A, 
IRX1, ,transcription regulator, , ,0.0401,H2BC21, 
UIMC1,-0.262,other, , ,0.0401,CDKN1A, 
HERC5, ,enzyme, , ,0.0401,IFIT2, 
beta2 adrenergic receptor agonist, ,chemical drug, , ,0.0401,CDKN1A, 
iCRT14, ,chemical reagent, , ,0.0401,CCN4, 
O-(chloroacetylcarbamoyl)fumagillol, ,chemical drug, , ,0.0401,CDKN1A, 
endosulfan, ,chemical toxicant, , ,0.0401,NOS2, 
tempo, ,chemical reagent, , ,0.0401,NOS2, 
mecamylamine, ,chemical drug, , ,0.0401,KCNJ11, 
dephostatin, ,chemical reagent, , ,0.0401,CDKN1A, 
isoniazid, ,chemical drug, , ,0.0401,LY96, 
FK 409, ,chemical drug, , ,0.0401,NOS2, 
N-ethylmaleimide, ,chemical reagent, , ,0.0401,GHR, 
cibacron blue F 3GA, ,chemical reagent, , ,0.0401,THBS1, 
amifostine, ,chemical drug, , ,0.0401,PTGES, 
natamycin, ,chemical drug, , ,0.0401,SPP1, 
palmitoylcarnitine, ,chemical - endogenous mammalian, , ,0.0401,CLDN4, 
NSC 644221, ,chemical reagent, , ,0.0401,CDKN1A, 
ofloxacin, ,chemical drug, , ,0.0401,CDKN1A, 
3-nitrobenzanthrone, ,chemical toxicant, , ,0.0401,CYP1A1, 
etodolac, ,chemical drug, , ,0.0401,THBS1, 
10-decarbamoylmitomycin C, ,chemical toxicant, , ,0.0401,CDKN1A, 
nomifensine, ,chemical drug, , ,0.0401,LIF, 
idronoxil, ,chemical drug, , ,0.0401,CDKN1A, 
SYUIQ-5, ,chemical reagent, , ,0.0401,CDKN1A, 
GSK3235025, ,chemical reagent, , ,0.0401,PPARGC1A, 
NC9, ,chemical reagent, , ,0.0401,ITGB4, 
phosphoramidon, ,chemical - endogenous non-mammalian, , ,0.0401,EDNRB, 
atosiban, ,biologic drug, , ,0.0401,CDKN1A, 
glutathione diethyl ester, ,chemical reagent, , ,0.0401,PLAUR, 
(indol-3-yl)pyruvic acid, ,chemical - endogenous non-mammalian, , ,0.0401,CYP1A1, 
poly(C)RNA, ,chemical reagent, , ,0.0401,PTGES, 
OGT,0.132,enzyme, ,1.969,0.0403,"CDKN1A,KRT18,OLIG1,PPARGC1A", 
ACSL4,0.103,enzyme, , ,0.0403,"KRT18,NT5E,SPP1", 
BIRC5,-0.029,other, , ,0.0403,"CDKN1A,FBLN1,VWF", 
enalapril, ,biologic drug, , ,0.0403,"CLDN4,PTHLH,SPP1", 
glucagon, ,biologic drug, , ,0.0403,"CARD14,SLC43A2,TNS1", 
mir-21, ,microRNA, ,0.116,0.041,"CDH5,CDKN1A,ELN,ICOSLG/LOC102723996,INPP5D,NOS2,OAS3,TBX21", 
YY1,-0.018,transcription regulator, , ,0.041,"ALCAM,CDKN1A,CENPE,CRABP1,GADD45G,ICOSLG/LOC102723996,PERP,VWF", 
GRHL2, ,transcription regulator, , ,0.0415,"CLDN4,DLL3", 
TNFRSF11B, ,transmembrane receptor, , ,0.0415,"NOS2,SPP1", 
ETV1,-0.324,transcription regulator, , ,0.0415,"ASCL1,PLAUR", 
FOXC1,-0.112,transcription regulator, , ,0.0415,"DLL1,HES5", 
NTRK1, ,kinase, , ,0.0415,"CDKN1A,IGF2", 
GNL3,-0.233,other, , ,0.0415,"CDKN1A,KRT18", 
SB 290157, ,chemical reagent, , ,0.0415,"SPP1,THBS1", 
diosgenin, ,chemical - endogenous non-mammalian, , ,0.0415,"ABCC3,NOS2", 
RUNX1,0.019,transcription regulator, , ,0.0415,"ADAMTSL4,ALCAM,CDKN1A,CHI3L1,EPAS1,OAS3,SPP1", 
Z-LLL-CHO, ,chemical - protease inhibitor, ,1.64,0.0415,"BST2,CDKN1A,CLDN4,CYP1A1,DCN,EPAS1,NOS2,TDO2,THBS1", 
ionomycin, ,chemical reagent, ,1.353,0.0424,"CLDN4,ERFE,FOSB,NRP1,SPP1,TBX21", 
allopurinol, ,chemical drug,Activated,2,0.0429,"CLDN4,ITGB4,SPP1,TMEM173", 
CDK19,0.3,kinase, ,-1.732,0.0429,"CDKN1A,ITGB4,LIF,PLK2", 
flutamide, ,chemical drug, ,1,0.0429,"CYP1A1,DCX,NOS2,PTHLH", 
RUNX1-RUNX1T1, ,fusion gene/product, , ,0.0429,"C5AR1,CA8,CDKN1A,XYLT1", 
REL,0.381,transcription regulator, ,-0.293,0.0431,"CACNA1E,CD200,CDKN1A,CTSV,NOS2,PLK2,PTGDS", 
triptolide, ,chemical drug, ,-0.124,0.0432,"CAV1,CDH5,CDKN1A,EDNRB,GHR", 
quercetin, ,chemical drug, ,-0.613,0.0432,"CAV1,CYP1A1,NOS2,PLAUR,PPARGC1A", 
mibolerone, ,chemical drug, ,-0.447,0.0432,"ABCA8,ALCAM,ALDH3A1,GADD45G,PRELP", 
GPER1,0.88,G-protein coupled receptor, , ,0.044,"CDKN1A,FOSB,SFRP2", 
APOA1, ,transporter, , ,0.044,"CAV1,NOS2,PPARGC1A", 
mir-24, ,microRNA, , ,0.044,"CDKN1A,ICOSLG/LOC102723996,TBX21", 
SOCS1, ,other,Inhibited,-2.223,0.0443,"CDKN1A,IFIT1,IFIT2,NOS2,OAS1", 
2-amino-5-phosphonovaleric acid, ,chemical - other, ,-0.447,0.0443,"FOSB,GADD45G,ICOSLG/LOC102723996,NPAS4,ZNF750", 
PSEN1,-0.291,peptidase, ,0,0.0443,"CPLX2,CRYM,DCX,DLL1,DLL3,HES5,NOS2,RPGR,TNXB,TUBA4A", 
CHD7,-0.656,enzyme, , ,0.0447,"HES5,PERP", 
NODAL, ,growth factor, , ,0.0447,"ITGAX,NOS2", 
mir-214, ,microRNA, , ,0.0447,"ALCAM,TFAP2C", 
LRPAP1,-0.103,other, , ,0.0447,"PTGES,SERPINA3", 
TRPV4, ,ion channel, , ,0.0447,"PPARGC1A,THBS1", 
NFIC,0.215,transcription regulator, , ,0.0447,"CDKN1A,RPE65", 
SSTR2,1.491,G-protein coupled receptor, , ,0.0447,"GALR1,THBS1", 
hemocyanin, ,biologic drug, , ,0.0447,"ITGAX,NOS2", 
amitriptyline, ,chemical drug, , ,0.0447,"CDKN1A,SERPINA3", 
PRKCD,0.134,kinase,Activated,2.395,0.0452,"CDKN1A,GDF15,ICOSLG/LOC102723996,LIF,NOS2,OAS1", 
ZBTB16,-0.173,transcription regulator, ,-1,0.0454,"CD8A,CDKN1A,ICOSLG/LOC102723996,LY96,SPP1", 
POMC, ,other, ,-0.915,0.0457,"H19,IGF2,NOS2,PPARGC1A", 
clofibrate, ,chemical drug, ,-0.849,0.0457,"ABCC3,CYP1A1,NOS2,SLCO2A1", 
pravastatin, ,chemical drug, , ,0.0459,"CAV1,NOS2,VWF", 
Pdgf (complex), ,complex, ,-0.2,0.0471,"CAV1,CDKN1A,FOSB,PLAUR", 
INSR,-0.127,kinase, ,-0.686,0.0475,"ARL4A,CDKN1A,CTSV,DLK1,FBLN1,H19,IGF2,PDGFB,PPARGC1A,TFAP2C", 
GPS2,-0.2,transcription regulator, , ,0.0478,"CDKN1A,NOS2,XYLT1", 
dalfampridine, ,chemical drug, , ,0.0478,"FOSB,GADD45G,NPAS4", 
ursolic acid, ,chemical drug, , ,0.0478,"CDKN1A,GDF15,NOS2", 
capsaicin, ,chemical drug, , ,0.0478,"ABCC3,GDF15,NOS2", 
NfkB1-RelA, ,complex, , ,0.048,"ADAMTS4,NOS2", 
LTBP1,-0.199,other, , ,0.048,"TBX21,VWF", 
ADAMTS12, ,peptidase, , ,0.048,"CHI3L1,TNFAIP2", 
diazoxide, ,chemical drug, , ,0.048,"KCNJ11,NOS2", 
amino acids, ,chemical - endogenous mammalian, , ,0.048,"FOSB,IGF2", 
nicotine, ,chemical drug, ,0.141,0.0481,"CDKN1A,KCNJ11,NOS2,PLAUR,PTHLH,SPP1", 
SRF,0.061,transcription regulator, , ,0.0484,"ABCA4,CDKN1A,CPM,FOSB,GADD45G,GLIPR1,OPN3,PCDH15,SVIL", 
CAMP, ,other, ,-0.152,0.0486,"C5AR1,ITGAX,NOS2,TNFAIP2", 
diethylnitrosamine, ,chemical toxicant, , ,0.0486,"ALDH3A1,CDKN1A,NOS2,PPARGC1A", 
NS-398, ,chemical reagent, , ,0.0486,"CDKN1A,NOS2,PTGES,SPP1", 
GATA6, ,transcription regulator, ,0.447,0.0491,"ASCL1,CAV1,CDKN1A,DLK1,PPL,PTGES", 
SCD,-0.384,enzyme, , ,0.0498,"NOS2,PPARGC1A,PRDM16", 
clozapine, ,chemical drug, , ,0.0498,"PPARGC1A,PRDM16,TBX21", 
gentamicin, ,chemical drug, ,1.938,0.05,"ALCAM,CTSV,CYP1A1,GDF15,GHR,NOS2,SPP1", 
CGA, ,other, ,1.98,0.053,"CREB3L1,CTSV,DMRT1,IRAK2", 
puromycin aminonucleoside, ,chemical reagent, ,1.964,0.053,"CLDN4,CTSV,ITGB4,SPP1", 
methylprednisolone, ,chemical drug,Activated,2.01,0.0616,"ARL4A,CDKN1A,CTSV,EDNRB,GHR,HPD,PLAUR,PPL,SERPINA3,SLCO2A1,TDO2,TUBA4A", 
IL17A, ,cytokine,Activated,2.057,0.0624,"HSPB8,LIF,LRRK2,NOS2,NRP1,TNFRSF1B,VWF", 
NCOA2,0.004,transcription regulator, ,1.964,0.0643,"CDKN1A,CYP1A1,FRZB,IFIT2", 
CCR2, ,G-protein coupled receptor,Activated,2,0.0695,"DCN,FBLN1,PRELP,THBS1", 
CHUK,-0.29,kinase,Activated,2.408,0.0705,"CDKN1A,DCN,IFIT2,SPP1,TNFAIP2,TNFRSF1B", 
NR1H4, ,ligand-dependent nuclear receptor,Inhibited,-2.105,0.0819,"ABCC3,CRABP1,NOS2,PPARGC1A,SPP1", 
benzo(a)pyrene, ,chemical toxicant,Activated,2.141,0.0822,"ALDH3A1,CDKN1A,CYP1A1,MAP2K6,THBS1,TNFAIP2", 
GSK3B,-0.345,kinase, ,1.91,0.0824,"CDKN1A,DLL1,NOS2,SPP1", 
ethanol, ,chemical - endogenous mammalian,Activated,2.042,0.0932,"ADCY8,C5AR1,CDKN1A,CNR1,EDNRB,FOSB,ITGAX,NOS2,PPARGC1A", 
IRF2,0.184,transcription regulator, ,-1.98,0.0964,"CDKN1A,NOS2,OAS1,OPN3", 
IKBKG,0.035,kinase,Activated,2,0.118,"DCN,EPAS1,TNFAIP2,TNFRSF1B", 
miR-1-3p (and other miRNAs w/seed GGAAUGU), ,mature microRNA,Inhibited,-2.216,0.12,"ARHGAP29,ITGB4,NRP1,RBM47,THBS1", 
KMT2D,-0.172,transcription regulator,Inhibited,-2.213,0.138,"IMMP2L,NAALADL2,NT5DC1,NT5E,ZNF750", 
EP300,-0.037,transcription regulator, ,1.934,0.142,"CDKN1A,CRISPLD2,CYP1A1,H2AW,NOS2,OAS3,PERP,PPARGC1A,TBX19", 
pirinixic acid, ,chemical toxicant,Activated,2.425,0.153,"ABCC3,ALDH3A1,CD200,CDKN1A,CYP1A1,H1-2,NOS2,PERP,PPARGC1A", 
IKBKB,0.001,kinase,Activated,2.271,0.199,"CDKN1A,DCN,KRT18,NOS2,TNFAIP2,TNFRSF1B", 
miR-124-3p (and other miRNAs w/seed AAGGCAC), ,mature microRNA,Inhibited,-2.236,0.2,"ARHGAP29,CAV1,F11R,FAM83H,RBM47", 
HNF4A, ,transcription regulator,Activated,2.374,0.326,"ABCC3,ALCAM,ALDH3A1,APOC1,ASCL1,CAV1,CDKN1A,CHI3L1,CYP1A1,EHD3,F11R,GADD45G,GDF15,GPR37,HPD,IFI30,KCNJ11,LTB4R2,NOD2,OAS3,PARD3B,PERP,PPARGC1A,PPL,PTGDS,SERPINA3,SHBG,SPP1,SUGCT,SULT1A1,SYNPO,TDO2", 
geldanamycin, ,chemical - endogenous non-mammalian, ,-1.982,0.349,"CDH5,CYP1A1,IFIT2,LIF,NOS2", 
cholesterol, ,chemical - endogenous mammalian, ,1.98,0.397,"CAV1,ITGAX,PPARGC1A,THBS1", 
